date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:44	1017/1017	---M--	200	added ('OK')	image/png	etag:W/%221017-1397206127386%22	http://www.ais.fju.edu.tw/layout/oneorange/image/ora_boxbg.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/ora_boxbg.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:45	57/57	---M--	200	added ('OK')	image/gif	etag:W/%2257-1397206129715%22	http://www.ais.fju.edu.tw/layout/oneorange/image/ora_deco.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/ora_deco.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:45	1613/1613	---M--	200	added ('OK')	image/gif	etag:W/%221613-1397206126573%22	http://www.ais.fju.edu.tw/layout/oneorange/image/ora_more.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/ora_more.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:46	18668/18668	---M--	200	added ('OK')	image/gif	etag:W/%2218668-1397206129996%22	http://www.ais.fju.edu.tw/layout/oneorange/image/ora_youtube.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/ora_youtube.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:47	10810/10810	---M--	200	added ('OK')	image/png	etag:W/%2210810-1397206128872%22	http://www.ais.fju.edu.tw/layout/oneorange/image/footerpaper.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/footerpaper.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:48	1148/1148	---M--	200	added ('OK')	image/gif	etag:W/%221148-1397206139338%22	http://www.ais.fju.edu.tw/layout/oneorange/image/bg_titlebar02.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/bg_titlebar02.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:48	35062/35062	---M--	200	added ('OK')	image/png	etag:W/%2235062-1397206128862%22	http://www.ais.fju.edu.tw/layout/oneorange/image/loginbg.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/loginbg.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:48	83/83	---M--	200	added ('OK')	image/gif	etag:W/%2283-1397206128889%22	http://www.ais.fju.edu.tw/layout/oneorange/image/bg_box01.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/bg_box01.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:49	1017/1017	---M--	200	added ('OK')	image/png	etag:W/%221017-1397206127584%22	http://www.ais.fju.edu.tw/layout/oneorange/image/boxbg.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/boxbg.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:50	48/48	---M--	200	added ('OK')	image/gif	etag:W/%2248-1397206132271%22	http://www.ais.fju.edu.tw/layout/oneorange/image/tr_bck.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/tr_bck.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:50	1396/1396	---M--	200	added ('OK')	image/png	etag:W/%221396-1397206126636%22	http://www.ais.fju.edu.tw/layout/oneorange/image/sitemap.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/sitemap.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:51	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:20:50%20GMT	http://www.ais.fju.edu.tw/layout/oneorange/image/titlebg.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/titlebg.36.delayed	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
