date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:28	13116/13116	---M--	200	added ('OK')	application/javascript	etag:W/%2213116-1397206150704%22	http://www.ais.fju.edu.tw/layout/oneorange/js/abgne.js	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/js/abgne.js	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:19:30	92633/92633	---M--	200	added ('OK')	application/javascript	etag:W/%2292633-1388076567449%22	http://www.ais.fju.edu.tw/js/jquery-1.9.1.min.js	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/js/jquery-1.9.1.min.js	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:19:32	9869/9869	---M--	200	added ('OK')	image/png	etag:W/%229869-1599811256280%22	http://www.ais.fju.edu.tw/image/logo/logo1.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/logo/logo1.png	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:19:33	10461/10461	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2003:19:32%20GMT	http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp?version=EN	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/vvindex4d61.html	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:19:41	76545/76545	---M--	200	added ('OK')	application/javascript	etag:W/%2276545-1388076569917%22	http://www.ais.fju.edu.tw/js/timepicker.js	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/js/timepicker.js	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:19:43	435844/435844	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-6a684%22	http://code.jquery.com/ui/1.10.3/jquery-ui.js	C:/Users/User/Downloads/web/code.jquery.com/ui/1.10.3/jquery-ui.js	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:20:04	275529/275529	---M--	200	added ('OK')	application/javascript	etag:W/%22275529-1388076572137%22	http://www.ais.fju.edu.tw/js/jquery-1.8.3.js	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/js/jquery-1.8.3.js	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:20:20	241227/241227	---M--	200	added ('OK')	image/jpeg	etag:W/%22241227-1731031327036%22	http://www.ais.fju.edu.tw/image/showImg/showImg_2024_1108_1002.jpg	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/showImg/showImg_2024_1108_1002.jpg	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:20:26	257027/257027	---M--	200	added ('OK')	image/jpeg	etag:W/%22257027-1731031459591%22	http://www.ais.fju.edu.tw/image/showImg/showImg_2024_1108_1004.jpg	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/showImg/showImg_2024_1108_1004.jpg	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:20:30	349658/349658	---M--	200	added ('OK')	image/jpeg	etag:W/%22349658-1630543987861%22	http://www.ais.fju.edu.tw/image/showImg/showImg_2021_0902_0853.jpg	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/showImg/showImg_2021_0902_0853.jpg	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:20:31	4172/4172	---M--	200	added ('OK')	image/png	etag:W/%224172-1599811264891%22	http://www.ais.fju.edu.tw/image/logo/footlogo.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/logo/footlogo.png	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:20:31	69551/69551	---M--	200	added ('OK')	image/jpeg	etag:W/%2269551-1630544199274%22	http://www.ais.fju.edu.tw/image/showImg/showImg_2021_0902_0856.jpg	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/showImg/showImg_2021_0902_0856.jpg	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:20:32	4857/4857	---M--	200	added ('OK')	image/png	etag:W/%224857-1397206128865%22	http://www.ais.fju.edu.tw/layout/oneorange/image/footericon1.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/footericon1.png	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:20:33	4852/4852	---M--	200	added ('OK')	image/png	etag:W/%224852-1397206127037%22	http://www.ais.fju.edu.tw/layout/oneorange/image/footericon2.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/footericon2.png	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:20:33	4746/4746	---M--	200	added ('OK')	image/png	etag:W/%224746-1397206146902%22	http://www.ais.fju.edu.tw/layout/oneorange/image/footericon3.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/footericon3.png	(from http://www.ais.fju.edu.tw/layout/oneorange/vvindex.jsp)
11:20:33	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:20:32%20GMT	http://www.ais.fju.edu.tw/layout/oneorange/css/css/PIE.htc	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/css/css/PIE.1a.delayed	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
11:20:34	1243/1243	---M--	200	added ('OK')	image/png	etag:W/%221243-1397206150837%22	http://www.ais.fju.edu.tw/layout/oneorange/image/toplinkhome.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/toplinkhome.png	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style.css)
